State,state_full,Year,revratio_all,revratio_lo,revratio_st,revratio_fe,revratio_lost,revratio_stfe,revratio_lofe,adj_revratio_all,adj_revratio_lo,adj_revratio_st,adj_revratio_fe,adj_revratio_lost,adj_revratio_stfe,adj_revratio_lofe,revpp_all,revpp_lo,revpp_st,revpp_fe,revpp_lost,revpp_stfe,revpp_lofe,adj_revpp_all,adj_revpp_lo,adj_revpp_st,adj_revpp_fe,adj_revpp_lost,adj_revpp_stfe,adj_revpp_lofe
USA,,1995,0.9826278,0.8171079,1.09965,1.461608,0.9533796,1.140326,0.8851078,0.9879407,0.8236114,1.099271,1.452495,0.9590393,1.138973,0.89214,9652.668,4563.783,4483.63,605.2559,9047.412,5088.886,5169.039,10013.68,4648.52,4727.773,637.3876,9376.293,5365.161,5285.908
USA,,1996,0.9856514,0.8183641,1.103763,1.434296,0.9586668,1.139795,0.8835242,0.9919751,0.8266495,1.103906,1.426419,0.9653776,1.139066,0.8921184,9679.882,4498.979,4586.332,594.5706,9085.312,5180.902,5093.55,10038.56,4582.542,4830.601,625.4171,9413.143,5456.018,5207.959
USA,,1997,0.9891543,0.8223836,1.10738,1.416068,0.9637901,1.140391,0.8850077,0.9964234,0.8316672,1.108327,1.411369,0.9712881,1.140803,0.8948346,9882.175,4557.392,4727.614,597.1693,9285.006,5324.783,5154.561,10245.49,4642.105,4974.182,629.2073,9616.287,5603.39,5271.313
USA,,1998,0.9902098,0.8255862,1.104517,1.391147,0.9652425,1.136223,0.8882991,0.9990316,0.8360296,1.107476,1.39118,0.9741336,1.138953,0.89957,10247.14,4683.316,4922.628,641.1947,9605.944,5563.823,5324.511,10617.46,4770.053,5171.813,675.5955,9941.865,5847.408,5445.648
USA,,1999,0.9878076,0.8280729,1.09351,1.377707,0.9626554,1.125588,0.8916736,0.9972517,0.8389298,1.097762,1.379704,0.9721646,1.129629,0.9033265,10594.95,4785.195,5128.933,680.8186,9914.128,5809.752,5466.014,10972.27,4874.194,5382.704,715.3678,10256.9,6098.072,5589.562
USA,,2000,0.9875023,0.8279351,1.087302,1.378612,0.9611794,1.121045,0.8948859,1.000021,0.840643,1.095639,1.384624,0.973646,1.129219,0.9088418,10910.04,4858.019,5325.822,726.1948,10183.84,6052.017,5584.214,11293.8,4942.083,5587.412,764.3045,10529.5,6351.717,5706.388
USA,,2001,0.9869263,0.8297319,1.084,1.375801,0.9608256,1.117612,0.896184,1.001929,0.8450444,1.094499,1.386505,0.9755253,1.12838,0.9131822,11344.45,5033.357,5557.608,753.4806,10590.96,6311.089,5786.837,11717.8,5111.706,5811.672,794.4219,10923.38,6606.094,5906.128
USA,,2002,0.988152,0.8171665,1.095774,1.372921,0.9597826,1.130667,0.8900985,1.000379,0.8315097,1.101566,1.379158,0.9717733,1.136805,0.9058787,11545.01,5113.8,5592.728,838.4824,10706.53,6431.21,5952.282,11924.54,5194.059,5845.721,884.7654,11039.78,6730.486,6078.824
USA,,2003,0.9885363,0.8283252,1.083256,1.364819,0.9586154,1.121165,0.9033737,0.9999747,0.8413528,1.089169,1.369119,0.9698887,1.127186,0.9177775,11725.23,5176.689,5633.78,914.7629,10810.47,6548.543,6091.452,12092.79,5247.99,5880.703,964.0993,11128.69,6844.802,6212.089
USA,,2004,0.9960369,0.8427987,1.087967,1.36913,0.9641259,1.129401,0.9190147,1.006158,0.8541008,1.092993,1.369817,0.9742882,1.13406,0.9314189,11941.98,5423.452,5522.565,995.9587,10946.02,6518.524,6419.411,12320.63,5494.857,5776.55,1049.224,11271.41,6825.774,6544.082
USA,,2005,0.9867361,0.8270609,1.087667,1.345675,0.9555253,1.126354,0.9029776,1.005556,0.8457836,1.101518,1.36199,0.9738092,1.14086,0.9239159,12142.31,5516.7,5597.368,1028.245,11114.07,6625.613,6544.945,12536.94,5599.272,5852.91,1084.753,11452.18,6937.663,6684.025
USA,,2006,0.9928926,0.8394905,1.089716,1.351506,0.9618032,1.129152,0.9137329,1.012551,0.8591518,1.104513,1.368381,0.9809328,1.14458,0.9355188,12486.93,5729.196,5704.167,1053.565,11433.36,6757.732,6782.761,12888.48,5815.284,5961.47,1111.73,11776.75,7073.2,6927.014
USA,,2007,0.9937452,0.8420119,1.092423,1.341242,0.966167,1.126755,0.9099061,1.013594,0.8620384,1.107548,1.359205,0.9854929,1.142575,0.9319196,12964.54,5911.626,6047.613,1005.305,11959.24,7052.918,6916.931,13361.45,5997.288,6305.063,1059.093,12302.35,7364.157,7056.381
USA,,2008,0.9952863,0.8420676,1.097426,1.321639,0.9702365,1.127166,0.9061036,1.014465,0.8616461,1.111597,1.339218,0.9889529,1.142014,0.927555,13036.09,5883.919,6174.885,977.2902,12058.8,7152.175,6861.209,13440.4,5967.019,6444.25,1029.131,12411.27,7473.381,6996.15
USA,,2009,0.9890352,0.8396181,1.088935,1.274922,0.9626133,1.118281,0.9067715,1.007531,0.8587937,1.10246,1.290859,0.9808421,1.132282,0.9273907,13309.4,6011.305,6115.665,1182.425,12126.97,7298.09,7193.73,13701.46,6087.477,6376.056,1237.924,12463.53,7613.98,7325.401
USA,,2010,0.9880698,0.8441983,1.077968,1.252759,0.9546724,1.114802,0.9230701,1.004159,0.8613696,1.088401,1.263769,0.9706207,1.125516,0.9415964,13118.56,5972.272,5600.98,1545.305,11573.25,7146.286,7517.577,13510.76,6035.771,5851.619,1623.37,11887.39,7474.989,7659.141
USA,,2011,0.9921325,0.8419429,1.082376,1.271502,0.95752,1.121132,0.9246868,1.00624,0.8579816,1.090457,1.279319,0.9717094,1.129247,0.9415868,12875.72,5767.543,5608.158,1500.016,11375.7,7108.173,7267.559,13243.07,5824.646,5849.537,1568.887,11674.18,7418.423,7393.533
USA,,2012,0.9862972,0.8426678,1.079844,1.292899,0.9564368,1.115801,0.9136539,0.9997858,0.8573534,1.087396,1.302397,0.9696981,1.123764,0.929767,12542.07,5771.12,5587.699,1183.249,11358.82,6770.949,6954.369,12886.79,5821.953,5827.119,1237.721,11649.07,7064.839,7059.674
